Title,Publication Date,URL,Summary,Author,Section,Tags
The Unveiling of Windows XP,2001-10-26T05:00:00+0000,https://www.nytimes.com/2001/10/26/opinion/the-unveiling-of-windows-xp.html,"Editorial notes that Microsoft Corp is introducing its latest operating system, Windows XP, without hoopla that accompanied its introduction of Windows 95 six years ago; says this might reflect changed state of computer business and widespread tech fatigue; notes that biggest selling point cited by reviewers is that Windows XP rarely crashes, unlike Microsoft's earlier operating systems; notes that European Union regulators are investigating whether Windows XP illegally shuts out competing music and video-laying software, a familiar story to anyone who followed Microsoft's antitrust trial",,Opinion,"Microsoft Corp, European Union, COMPUTER SOFTWARE, Editorials, ANTITRUST ACTIONS AND LAWS, Computers and the Internet"
At Least 124 Killed As Swiss Airliner Crashes on Cyprus; 124 DIE IN CRASH OF SWISS AIRLINER,1967-04-20T05:00:00+0000,https://www.nytimes.com/1967/04/20/archives/at-least-124-killed-as-swiss-airliner-crashes-on-cyprus-124-die-in.html,"Globe Air Charter Co: at least 124 killed as Swiss-owned Britannia jetliner with 130 aboard crashes while landing at Nicosia, Cyprus, during thunderstorm; map",,Archives,"AIRLINES, Accidents and Safety"
THUNDER HELPS THIEF TO LOOT 5TH AV. SHOP; Drowns the Crash as He Breaks a Window -- Suspect Caught as Result of Cut Hand.,1936-06-22T05:00:00+0000,https://www.nytimes.com/1936/06/22/archives/thunder-helps-thief-to-loot-5th-av-shop-drowns-the-crash-as-he.html,"Frederics, jewelry shop; novelties from show window; J Kelly arrested",,Archives,"New York City, FREDERICKS JEWELRY SHOP, Jewels and Jewelry, ROBBERIES"
41 Are Hurt in Crash Of Commuter Trains At Grand Central,1968-03-13T05:00:00+0000,https://www.nytimes.com/1968/03/13/archives/41-are-hurt-in-crash-of-commuter-trains-at-grand-central.html,"16 hurt when inbound Penn Central passenger train plows into standing train, Grand Central Terminal",,Archives,"United States, NEW YORK CITY METROPOLITAN AREA, Railroads, ACCIDENTS AND DELAYS"
"Bullet Crashes Window, Misses General and Wife",1950-11-12T05:00:00+0000,https://www.nytimes.com/1950/11/12/archives/bullet-crashes-window-misses-general-and-wife.html,lr on PR role,,Archives,"CATES, CLIFTON B., TRUMAN, HARRY S., ASSASSINATION ATTEMPT"
Passengers Pound on Windows,1959-01-12T05:00:00+0000,https://www.nytimes.com/1959/01/12/archives/passengers-pound-on-windows.html,,,Archives,
"109 HURT IN CRASH OF COMMUTER TRAIN; 14 Cars Ram Bumper at the Grand Central Terminal With 900 Aboard FAILING BRAKES REPORTED Motorman Says They Did Not Hold, but Later Tests Show Them to Be Intact Dewey Aides Investigate Many Windows Shattered Delay in Aid Charged 109 HURT IN CRASH OF COMMUTER TRAIN",1940-07-11T05:00:00+0000,https://www.nytimes.com/1940/07/11/archives/109-hurt-in-crash-of-commuter-train-14-cars-ram-bumper-at-the-grand.html,"Commuter train rams bumper, Grand Central; 109 hurt; list; inquiries; co statement",,Archives,"New York City, NEW YORK CENTRAL RR CO, ACCIDENTS, Railroads"
"40 SHAKEN IN BUS CRASH; Vehicle Strikes a Truck, Then Caroms Into Store Window",1946-08-30T05:00:00+0000,https://www.nytimes.com/1946/08/30/archives/40-shaken-in-bus-crash-vehicle-strikes-a-truck-then-caroms-into.html,"Bus sideswipes truck, crashes into store window; 40 passengers escape injury",,Archives,"New York City, ACCIDENTS, MOTOR VEHICLES"
13 KILLED IN CRASH OF BRITISH TRAIN; Crowded Express Smashes Truck at Grade Crossing,1968-01-07T05:00:00+0000,https://www.nytimes.com/1968/01/07/archives/13-killed-in-crash-of-british-train-crowded-express-smashes-truck.html,"13 killed, 50 hurt when crowded Manchester-London express plows into stalled truck hauling 125-ton transformer at grade crossing near Hixon",,Archives,"Great Britain, Railroads"
BUS CRASH HURTS 18; TRAFFIC IS SNARLED,1961-06-22T05:00:00+0000,https://www.nytimes.com/1961/06/22/archives/bus-crash-hurts-18-traffic-is-snarled.html,Eighteen persons were hurt yesterday when a crowded commuter bus skidded and overturned on a rain-slicked approach to the New Jersey Turnpike in Secaucus.  ,,Archives,
Windows 7 On Sale Before It’s On Sale,2009-06-09T22:56:52+0000,https://gadgetwise.blogs.nytimes.com/2009/06/09/windows-7-on-sale-before-its-on-sale/,A “pre-sale” is expected for Windows 7 the end of this month.,By Stephen Williams,Technology,
Leaving Vista for Windows XP,2008-03-13T04:00:00+0000,https://www.nytimes.com/2008/03/13/technology/personaltech/13askk-001.html,"I recently bought a laptop but it only came with Windows Vista, which I find troublesome. Can I remove Vista and install Windows XP instead?",By J. D BIERSDORFER,Technology,"Software, Microsoft Corp, Computers and the Internet, Laptop Computers, Amazon.com Inc"
80 ON SWISS JET KILLED IN CRASH; Farm Village in Switzerland Is Scene of Jet Crash,1963-09-05T05:00:00+0000,https://www.nytimes.com/1963/09/05/archives/80-on-swiss-jet-killed-in-crash-farm-village-in-switzerland-is.html,"all 74 passengers and 6 crewmen killed as Rome-bound Caravelle crashes and burns shortly after takeoff from Zurich; victims include 43 from Humlikon, over 20% of village's population; crash site illus; map",By United Press International,Archives,"HUMLIKON, SWITZERLAND, Swissair, AIRLINES, Accidents and Safety, AIRLINES, Accidents and Safety"
Antidotes For Crashes,1998-10-29T05:00:00+0000,https://www.nytimes.com/1998/10/29/technology/q-a-antidotes-for-crashes.html,"Anti-crash programs work by scanning a computer system for conflicts, glitches and corrupted files and fixing the problems; some users, however, say anti-crash programs cause more problems than they fix (S)",By J. D. Biersdorfer,Technology,
Housekeeping Help For Windows Machines,2000-11-02T05:00:00+0000,https://www.nytimes.com/2000/11/02/technology/q-a-housekeeping-help-for-windows-machines.html," Q. I keep reading about newly discovered security holes in Windows software and programs. What is the best way to keep my system current and as safe as possible?    A. The Windows Update feature of most Windows systems is an online support option that can help keep your computer equipped with the latest system files, service packs, device drivers and security patches.   ",By J. D. Biersdorfer,Technology,
"The Psycho, the Starlet and the Voyeur",2014-11-06T23:32:23+0000,https://www.nytimes.com/2014/11/07/movies/open-windows-stars-elijah-wood-as-a.html,"In “Open Windows,” a mistreated entertainment blogger accepts an offer to spy on his favorite actress through her computer and phone cameras.",By Jeannette Catsoulis,Movies,"Movies, Vigalondo, Nacho, Wood, Elijah, Grey, Sasha, Open Windows (Movie)"
12TH BODY IS SOUGHT IN CRASH OF BOMBER,1951-08-15T05:00:00+0000,https://www.nytimes.com/1951/08/15/archives/12th-body-is-sought-in-crash-of-bomber.html,12th body sought; USAF begins probe,,Archives,"United States, AIRPLANES, MILITARY"
U. S. Tourists in Crash Saved,1953-08-19T05:00:00+0000,https://www.nytimes.com/1953/08/19/archives/u-s-tourists-in-crash-saved.html,"French bus carrying 22 Amer girls plunges into canal, Monnikendam; all safe",,Archives,"Netherlands, Buses"
Driving Windows XP to Market,2001-10-25T05:00:00+0000,https://www.nytimes.com/2001/10/25/business/technology-driving-windows-xp-to-market.html,"Microsoft Corp is introducing Windows XP, and it was vice president Chris Jones who led 1,000-member corporate army that designed and built new operating system; for nearly two years, Jones stood between marketing people, who typically want every possible feature included in Windows so as to appeal to broadest possible market, and software developers, who say marketing wish list is impossible; Jones comments (M)",By Steve Lohr,Business Day,"Microsoft Corp, Jones, Chris, COMPUTER SOFTWARE, Computers and the Internet"
"Driverless Auto Enters Broadway Store Through Window, Injuring Two in Crash",1926-02-27T05:00:00+0000,https://www.nytimes.com/1926/02/27/archives/driverless-auto-enters-broadway-store-through-window-injuring-two.html,"Driverless car plunges into window of Broadway store, injuring 2",,Archives,"N Y C, ACCIDENTS, Automobiles"
